episode,stage,num_agents,added_agents,skipped_agents,reward,speed_loss,mean_speed,min_speed,speed_05,speed_10,stopped_ratio,evacuation_ratio,throughput_agents_per_second,mean_density,max_density,classic_mean_density,classic_max_density,remaining_agents,iterations,elapsed_time,actor_loss,critic_1_loss,critic_2_loss,pair_1_action,pair_2_action,pair_3_action,pair_4_action,pair_5_action,pair_6_action,pair_7_action
40,stage_4_heavy,784.7,779.9,4.8,-0.21158347116096735,0.40272421424702565,0.836186100054164,0.00018665244042837808,0.1058567201017693,0.2736194539859112,0.08415630910359509,0.16336413477386263,4.9879999999999995,0.19512711079941794,0.2075625828972242,0.19512711079941794,0.2075625828972242,643.8,500.0,25.0,-0.7222788333892822,0.00014575175009667873,0.00013452886196319014,0.642897,0.9118999,0.89906526,0.8350754,0.8573738,0.7663337,0.13329238
41,stage_4_heavy,765.9,758.9,7.0,-0.24679626407014457,0.44418808780730223,0.7781366770697768,0.00010237652973155854,0.06222227753042037,0.1810380445398359,0.11520171491203937,0.16456548564815984,4.868,0.1896225107955523,0.20186372733556976,0.1896225107955523,0.20186372733556976,625.7,500.0,25.0,-0.7091392278671265,0.0002058825339190662,0.00011702176561811939,0.27204365,0.7230172,0.38701102,0.37797898,0.24566787,0.29766652,0.54441625
42,stage_4_heavy,734.7,728.4,6.3,-0.20548412676701377,0.3924859967825716,0.8505196045043999,0.00018401070226583047,0.11430769265261351,0.2885192103971976,0.0808162134233085,0.1687544252704359,4.816000000000001,0.18222314000341516,0.19416622100821662,0.18222314000341516,0.19416622100821662,598.5,500.0,25.0,-0.7155096530914307,0.00017414397734683007,0.0001352301042061299,0.4094574,0.29123163,0.6432656,0.9035063,0.72735393,0.418096,0.94504976
43,stage_4_heavy,677.8,671.0,6.8,-0.22974285574673803,0.41245593573714634,0.8225616899679951,9.582850708683246e-05,0.07488566317486266,0.2012616770944125,0.10793413575313245,0.1703538892053979,4.467999999999999,0.16765605076880336,0.17863616438285504,0.16765605076880336,0.17863616438285504,549.7,500.0,25.0,-0.7220479846000671,0.00020060593669768423,0.00011776821338571608,0.14934513,0.39431968,0.96236384,0.22131258,0.9220952,0.2967068,0.3180855
44,stage_4_heavy,827.0,819.3,7.7,-0.2424973882320593,0.43954155182263166,0.7846418274483157,7.665159249557689e-05,0.07954318636746624,0.20684766289240572,0.11113461250501107,0.1579147004081758,5.044,0.20490533307463724,0.21766387190224198,0.20490533307463724,0.21766387190224198,679.8,500.0,25.0,-0.7342795133590698,0.00016076077008619905,0.00011638774594757706,0.15950671,0.81709254,0.6848743,0.32223123,0.82263714,0.51311636,0.5749216
45,stage_4_heavy,758.8,751.4,7.4,-0.23496436762314846,0.4248597778007494,0.8051963110789508,0.00011984933681939906,0.06650288921258989,0.21051794275338528,0.1083674275047477,0.16690763222963242,4.8759999999999994,0.1880414575391108,0.20016217330531277,0.1880414575391108,0.20016217330531277,619.2,500.0,25.0,-0.7210599780082703,0.0001758849830366671,0.00010569473670329899,0.59024954,0.6730399,0.90143573,0.15021104,0.6336305,0.8994195,0.9575099
46,stage_4_heavy,700.2,693.6,6.6,-0.2318539636960241,0.4153993262501439,0.8184409432497984,8.30358504044768e-05,0.07409406772042933,0.2058726929220775,0.10949038865994423,0.16652151160593467,4.504,0.17350137709863012,0.1848481870329997,0.17350137709863012,0.1848481870329997,571.8,500.0,25.0,-0.7100926637649536,0.00017215355182997882,0.00015043115126900375,0.37410277,0.56584865,0.2119875,0.6999343,0.935907,0.15177631,0.7838445
47,stage_4_heavy,771.3,764.7,6.6,-0.20986724423706887,0.3990656341090765,0.8413081122472927,0.00014325817869921962,0.1080553573152891,0.27129117077037945,0.08373498432239704,0.16569280559257915,4.959999999999999,0.19115785686192585,0.20351126377756468,0.19115785686192585,0.20351126377756468,629.5,500.0,25.0,-0.7210001945495605,0.0001326766359852627,0.00011724577780114487,0.2416546,0.40535045,0.5636884,0.8776166,0.3290133,0.9784669,0.13429135
48,stage_4_heavy,783.4,773.9,9.5,-0.23065794582730828,0.42723310701481054,0.8018736501792653,0.00010102734312305545,0.06858495691888923,0.21804578677958278,0.09960783836897343,0.16475502554897503,4.9159999999999995,0.19302665765584062,0.2054829057491323,0.19302665765584062,0.2054829057491323,637.9,500.0,25.0,-0.7250548601150513,0.00013265528832562268,9.802063868846744e-05,0.20564884,0.30113357,0.46126154,0.27124,0.8981589,0.81897855,0.27651358
49,stage_4_heavy,761.8,754.0,7.8,-0.2357572266064656,0.42853248513025655,0.8000545208176408,0.0001266841053070921,0.069694370050898,0.19860776782400438,0.10724038759060497,0.16495198705201528,4.851999999999999,0.18827934268741903,0.20056730521727872,0.18827934268741903,0.20056730521727872,621.3,500.0,25.0,-0.7157461643218994,0.00016308798512909561,0.00011186156189069152,0.4122802,0.20199579,0.8578721,0.8781082,0.28360516,0.36372933,0.37012023
50,stage_4_heavy,665.2,659.5,5.7,-0.20176523941161606,0.3766492910281866,0.8726909925605387,0.00010410236546427488,0.1309966398281161,0.29239972793826674,0.08517587166723571,0.16743692745757519,4.3,0.16507567212951252,0.17580024099909333,0.16507567212951252,0.17580024099909333,543.4,500.0,25.0,-0.7265481352806091,0.00011644893675111234,7.001709309406579e-05,0.43595663,0.51989746,0.3590479,0.0779973,0.9617208,0.75894046,0.3661737
51,stage_4_heavy,753.5,746.9,6.6,-0.24115148033446943,0.4319341225930769,0.7952922283696923,6.96784722678666e-05,0.07117393130790318,0.19596191984595787,0.11396305216206448,0.164617407137003,4.792,0.18644689988560376,0.19856865445158,0.18644689988560376,0.19856865445158,615.4,500.0,25.0,-0.7400749921798706,0.0001101926900446415,7.954082684591413e-05,0.9136744,0.10527277,0.16792804,0.27922326,0.94524944,0.20495605,0.54235613
52,stage_4_heavy,759.9,754.8,5.1,-0.21830835497293588,0.4056853046800405,0.8320405734479432,7.559693191663253e-05,0.09966702963583288,0.26057052058762564,0.09339038850153283,0.16141103934293072,4.767999999999999,0.1885837110212806,0.2007293579820651,0.1885837110212806,0.2007293579820651,624.0,500.0,25.0,-0.7193098068237305,0.00021751169697381556,0.00016634498024359345,0.9025034,0.93285036,0.45186004,0.43590426,0.2676791,0.094096035,0.23193741
53,stage_4_heavy,758.8,751.6,7.2,-0.23227776627445515,0.42121057621512115,0.8103051932988304,0.00011202467140926286,0.07601196268434547,0.22166711508568265,0.10632255964734445,0.1638525743071146,4.804,0.18727378450592402,0.19959498862856045,0.18727378450592402,0.19959498862856045,618.9,500.0,25.0,-0.7088250517845154,0.00011576485121622682,8.579439599998295e-05,0.78838205,0.041889787,0.8328102,0.0376904,0.2889524,0.05396208,0.94151163
54,stage_4_heavy,755.8,750.2,5.6,-0.21155982202579646,0.3960076496667215,0.8455892904665898,0.00012487213766180613,0.12901471316160554,0.3085428403043652,0.08859460359851305,0.16573891406149932,4.8,0.1874846608601012,0.19935190948138085,0.1874846608601012,0.19935190948138085,618.1,500.0,25.0,-0.7101670503616333,0.00013234162179287523,0.00012427600449882448,0.5372973,0.8343571,0.9357182,0.6718269,0.29856086,0.5872716,0.9638453
55,stage_4_heavy,757.0,748.7,8.3,-0.259135770102296,0.4517500559502484,0.7675499216696521,5.54220468404182e-05,0.046764247345712766,0.15424024485861912,0.13072624620366097,0.1653803471619752,4.788000000000001,0.18709511094474932,0.19918985671659445,0.18709511094474932,0.19918985671659445,617.8,500.0,25.0,-0.7160780429840088,0.00016785971820354462,0.00010867185483220965,0.3775493,0.508771,0.82008266,0.5825558,0.8049248,0.22210196,0.88102186
56,stage_4_heavy,733.2,724.5,8.7,-0.2376491546961721,0.4308743261426999,0.7967759434002202,0.0001017241888083894,0.08630824549546316,0.2197470505922885,0.10883237373182024,0.16246982157132056,4.588,0.18099839506954882,0.1927077461251392,0.18099839506954882,0.1927077461251392,598.8,500.0,25.0,-0.7256388664245605,0.00011554224329302087,7.90704507380724e-05,0.14900976,0.117330045,0.8309111,0.32922506,0.14523989,0.41412184,0.38627577
57,stage_4_heavy,696.9,690.8,6.1,-0.22420348852849262,0.4066702999858709,0.8306615800197807,0.00011843679557843365,0.09207533847045024,0.23491098503487282,0.10255894755690705,0.1666576017018829,4.5200000000000005,0.17275655766047732,0.18419997597385412,0.17275655766047732,0.18419997597385412,569.0,500.0,25.0,-0.7177558541297913,0.0001487775007262826,0.00011344996164552867,0.8474032,0.50717217,0.016090244,0.9219895,0.3264035,0.8376631,0.65784687
58,stage_4_heavy,761.9,752.7,9.2,-0.24528041005094367,0.43884172550493317,0.7856215842930936,6.956127428730227e-05,0.0670006078154709,0.18931488352872256,0.11623953308161736,0.15919527452989238,4.704,0.1883759510664263,0.2005132876290166,0.1883759510664263,0.2005132876290166,624.8,500.0,25.0,-0.7246471643447876,0.00013058561307843775,0.0001290776999667287,0.30102396,0.49753967,0.92531943,0.7550386,0.14408594,0.7236192,0.13694727
59,stage_4_heavy,802.6,795.7,6.9,-0.23162589755791213,0.4273554453222344,0.8017023765488718,7.937462652014054e-05,0.09044039737747421,0.2198104610287141,0.1011395323816973,0.15864174434908188,4.924,0.19905896794503625,0.21137082286970416,0.19905896794503625,0.21137082286970416,659.5,500.0,25.0,-0.7061576843261719,7.602792175021023e-05,7.673983054701239e-05,0.41661963,0.8860291,0.8816762,0.43900383,0.69153166,0.82913584,0.16294801
60,stage_4_heavy,790.0,782.3,7.7,-0.2214030682502784,0.4135710702770819,0.8210005016120853,0.0001233826514104905,0.10277354701656845,0.25231382333755176,0.093291066899076,0.15381940863123578,4.739999999999999,0.19571922667075278,0.20796771480919016,0.19571922667075278,0.20796771480919016,651.5,500.0,25.0,-0.7318764925003052,0.00010675296653062105,0.00011059516691602767,0.74804956,0.80167913,0.83457106,0.5656527,0.89790565,0.45613283,0.19928694
