method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_open,303.0,300.0,300.0,0.0,-0.3633623600244751,-0.1033179907104829,0.1033179907104829,15.0,1500.0,75.0,0.95,3.8,1.103901890840884,0.2114986493993685,0.0311975515845591,0.0465901698760848,0.0810263823931909,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303.0,300.0,300.0,0.0,-0.4984737133000656,-0.1348156885373621,0.1348156885373621,43.0,1500.0,75.0,0.8552188552188552,3.3866666666666667,1.0183015438350085,0.2726417544035655,0.0429316446265598,0.0490283213216869,0.0808081247808045,,,,,,,
random,303.0,300.0,294.0,6.0,-0.90534767692289,-0.2148881664990848,0.2148881664990848,56.0,1500.0,75.0,0.8088737201365188,3.16,0.9042051703309376,0.3541391640493301,0.1220541681322546,0.0507623178115938,0.0791357668040165,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303.0,300.0,295.0,5.0,-0.5425535089447171,-0.1444797219830645,0.1444797219830645,29.0,1500.0,75.0,0.9003436426116839,3.493333333333333,1.0386037173420186,0.2581402018985581,0.0687060687060687,0.0461672690206115,0.0785955909213952,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
rule_based_pilgrimage,303.0,300.0,297.0,3.0,-0.6943482569970489,-0.1757660525811776,0.1757660525811776,42.0,1500.0,75.0,0.8561643835616438,3.333333333333333,0.9839158814286322,0.2972029418366912,0.0948081264108352,0.0481254065951136,0.0788656788627058,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,404.0,300.0,293.0,7.0,-6.432271678139431,-0.66861051867634,0.66861051867634,168.0,1500.0,75.0,0.4166666666666667,1.6,0.3322520380682493,0.7626771156655362,0.6058994540168758,0.0603184556298083,0.0777853270974633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,404.0,300.0,300.0,0.0,-0.3361960742565857,-0.0966089421713478,0.0966089421713478,19.0,1500.0,75.0,0.9362416107382552,3.72,1.1143892182267772,0.2040077012665877,0.0250097694411879,0.0469064570705143,0.0804862065105697,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,404.0,300.0,300.0,0.0,-0.5776260835406215,-0.1519737461380083,0.1519737461380083,53.0,1500.0,75.0,0.822742474916388,3.28,0.9729716559793156,0.3050202457290604,0.0499427464106403,0.0512908915352909,0.0813522872372409,,,,,,,
random,404.0,300.0,298.0,2.0,-1.054867694475138,-0.2400704878750102,0.2400704878750102,69.0,1500.0,75.0,0.7653061224489796,3.0,0.8883471241154569,0.3654663399175307,0.1564732531799965,0.0511887724557685,0.0794058547453271,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404.0,300.0,297.0,3.0,-0.5019947666425668,-0.1355980230255322,0.1355980230255322,35.0,1500.0,75.0,0.8805460750853242,3.44,1.0472657339128433,0.2519530472051119,0.0580280069058123,0.047418202643524,0.0791357668040165,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
rule_based_pilgrimage,404.0,300.0,297.0,3.0,-0.7970112322827223,-0.1953749527855265,0.1953749527855265,53.0,1500.0,75.0,0.8184931506849316,3.1866666666666665,0.943507252879523,0.3260662479431978,0.1082474226804123,0.0496144440610236,0.0788656788627058,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,505.0,300.0,297.0,3.0,-6.357214265886723,-0.6652271215367098,0.6652271215367098,173.0,1500.0,75.0,0.409556313993174,1.6,0.3387668166281311,0.7580237024084778,0.6033627342888643,0.0619141067567619,0.0791357668040165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,505.0,300.0,300.0,0.0,-0.3389258872743661,-0.0972892386225155,0.0972892386225155,22.0,1500.0,75.0,0.9264214046822744,3.693333333333333,1.1086408522617284,0.2081136769559082,0.023406279733587,0.0479050716956234,0.0807562944518803,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,505.0,300.0,300.0,0.0,-0.5711441672838302,-0.1506013743025499,0.1506013743025499,53.0,1500.0,75.0,0.8233333333333334,3.293333333333333,0.9839936282635876,0.2971474083831515,0.0529040182488155,0.0515092725210976,0.0816243684654591,,,,,,,
random,505.0,300.0,294.0,6.0,-1.8468888276060864,-0.3487422528572621,0.3487422528572621,131.0,1500.0,75.0,0.552901023890785,2.16,0.6803840386773331,0.514011400944762,0.2385628207989288,0.0581115528462043,0.0791357668040165,0.8506181240081787,0.2925411760807037,0.2230885326862335,0.1977146565914154,0.3778901100158691,0.138534128665924,0.0108283692970871
