method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_open,404,700,700,0,-0.5868984495346734,-0.153927150181945,0.153927150181945,155,1500,75.0,0.7776183644189383,7.226666666666667,0.9617004086616332,0.313071136670262,0.0478311591897338,0.1251893145861815,0.1882512950935136,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,404,700,694,6,-1.7479729216021047,-0.3369545068183228,0.3369545068183228,264,1500,75.0,0.6157205240174672,5.64,0.7023263281340415,0.4983383370471131,0.229365286665796,0.1331569088548452,0.1855504156804073,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404,700,698,2,-0.6769337556002539,-0.1723223267772436,0.1723223267772436,160,1500,75.0,0.7677793904208998,7.053333333333334,0.9218991748315876,0.3415005894060088,0.0595368183580669,0.1252106373183902,0.1860905915630286,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,404,900,880,20,-8.321702896669766,-0.7441151087474135,0.7441151087474135,662,1500,75.0,0.238204833141542,2.76,0.2377355237666482,0.8301889115952512,0.6867325735155216,0.2000889652580627,0.2347064209989431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,404,900,900,0,-0.7391713081806113,-0.1844695800374885,0.1844695800374885,258,1500,75.0,0.7120535714285714,8.506666666666666,0.8829726333300776,0.3693052619070873,0.0612457921244226,0.1679342850872912,0.2419987954143303,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,404,900,893,7,-1.9137536728152584,-0.3564807239594975,0.3564807239594975,376,1500,75.0,0.5746606334841629,6.773333333333333,0.6488704665365473,0.5365210953310375,0.2364538097118041,0.1753368269524235,0.2387577401186027,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404,900,896,4,-0.8546990524387994,-0.2059074823385618,0.2059074823385618,282,1500,75.0,0.6809954751131222,8.026666666666667,0.8340698115043299,0.4042358489254786,0.0736885712806172,0.1685739670535532,0.2387577401186027,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
all_closed,505,300,297,3,-6.357214265886723,-0.6652271215367098,0.6652271215367098,173,1500,75.0,0.409556313993174,1.6,0.3387668166281311,0.7580237024084778,0.6033627342888643,0.0619141067567619,0.0791357668040165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,505,300,300,0,-0.3389258872743661,-0.0972892386225155,0.0972892386225155,22,1500,75.0,0.9264214046822744,3.693333333333333,1.1086408522617284,0.2081136769559082,0.023406279733587,0.0479050716956234,0.0807562944518803,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,505,300,294,6,-1.8468888276060864,-0.3487422528572621,0.3487422528572621,131,1500,75.0,0.552901023890785,2.16,0.6803840386773331,0.514011400944762,0.2385628207989288,0.0581115528462043,0.0791357668040165,0.8506181240081787,0.2925411760807037,0.2230885326862335,0.1977146565914154,0.3778901100158691,0.138534128665924,0.0108283692970871
