method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
gt_original,404,1500,1040,0,-1.6730217486302466,-0.32773652451201485,0.32773652451201485,453,1500,75.0,0.5618955512572534,7.746666666666667,0.6577576701049064,0.5301730927822097,0.19277881233188496,0.209942887715786,0.2813319899776159,,,,,,,
rule_based_pilgrimage,404,1500,1028,12,-0.7518716174237929,-0.18689490403437015,0.18689490403437015,326,1500,75.0,0.6800785083415113,9.24,0.8435226952602669,0.3974837890998093,0.04650231399074404,0.19584218775982318,0.27521961219553864,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,505,5,5,0,-0.11072713221312469,-0.035004958307587056,0.035004958307587056,0,941,47.050000000000004,1.0,0.10626992561105206,1.2774826459234452,0.08751239576896763,0.0,0.0007879018900485294,0.001360406141090986,,,,,,,
rule_based_pilgrimage,505,5,5,0,-0.11241041430665244,-0.03550973511663265,0.03550973511663265,0,941,47.050000000000004,1.0,0.10626992561105206,1.2757159270917857,0.08877433779158161,0.0,0.0007821296633787186,0.0013504397065531837,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,505,10,10,0,-0.1452056329685334,-0.04519473766457547,0.04519473766457547,0,1240,62.0,1.0,0.16129032258064516,1.2418184181739857,0.11298684416143867,0.0,0.0014218438377854178,0.0027208122821819718,,,,,,,
rule_based_pilgrimage,505,10,10,0,-0.14370099428194694,-0.04475649672006998,0.04475649672006998,0,1241,62.050000000000004,1.0,0.16116035455278,1.243352261479755,0.11189124180017496,0.0,0.0013890236981689888,0.002700879413106366,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,505,1000,1000,0,-1.6124075311553994,-0.3200907406304889,0.3200907406304889,429,1500,75.0,0.5688442211055277,7.546666666666667,0.666629626052918,0.5238359813907729,0.18426058012363292,0.2011539480411061,0.2707208220771062,,,,,,,
rule_based_pilgrimage,505,1000,989,11,-0.7404381874966375,-0.18471230447224266,0.18471230447224266,302,1500,75.0,0.6921508664627931,9.053333333333333,0.8557351837801511,0.3887605830141777,0.048680118777619304,0.18674093489539498,0.2649562704257345,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,505,1500,1040,0,-1.661700894503248,-0.32632178415551927,0.32632178415551927,450,1500,75.0,0.5647969052224371,7.786666666666667,0.657890326493651,0.5300783382188208,0.1904840814466516,0.20973882679462238,0.2813319899776159,,,,,,,
rule_based_pilgrimage,505,1500,1028,12,-0.7676312864566042,-0.18988013136064663,0.18988013136064663,335,1500,75.0,0.6712463199214916,9.12,0.8376242961159757,0.4016969313457316,0.04866893137058993,0.19616913632035704,0.27521961219553864,0.8,0.8,0.8,0.8,0.8,0.8,0.8
