method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,classic_mean_density,classic_max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,101,1000,20,0,-0.791272491918844,-0.791272491918844,0.791272491918844,14,1500,75.0,0.3,0.08,0.23741194992583725,0.8304200357672591,0.7651741293532338,0.004282315385254172,0.005401758826212732,0.0042823153852541715,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,1000,19,1,-0.06292629096882196,-0.06292629096882196,0.06292629096882196,2,1500,75.0,0.8947368421052632,0.22666666666666666,1.179757981609123,0.1573157274220549,0.0,0.003166425732997068,0.005131670884902096,0.003166425732997068,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101,1000,20,0,-0.06950281366854881,-0.06950281366854881,0.06950281366854881,4,1500,75.0,0.8,0.21333333333333335,1.156740152160079,0.173757034171372,0.0,0.003461875627460484,0.005441624564363944,0.003461875627460484,0.0054416245643639435,,,,,,,
rl_policy,101,1000,20,0,-0.29727242367061546,-0.29727242367061546,0.29727242367061546,6,1500,75.0,0.7,0.18666666666666668,0.8692552550169235,0.3791033892736261,0.24271844660194175,0.003639079630290683,0.0054017588262127315,0.0036390796302906833,0.0054017588262127315,0.5436841249465942,0.5968451499938965,0.5928694009780884,0.6426052451133728,0.5292137861251831,0.5714855194091797,0.5240288376808167
all_closed,101,1500,20,0,-0.791272491918844,-0.791272491918844,0.791272491918844,14,1500,75.0,0.3,0.08,0.23741194992583725,0.8304200357672591,0.7651741293532338,0.004282315385254172,0.005401758826212732,0.0042823153852541715,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,1500,19,1,-0.06292629096882196,-0.06292629096882196,0.06292629096882196,2,1500,75.0,0.8947368421052632,0.22666666666666666,1.179757981609123,0.1573157274220549,0.0,0.003166425732997068,0.005131670884902096,0.003166425732997068,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101,1500,20,0,-0.06950281366854881,-0.06950281366854881,0.06950281366854881,4,1500,75.0,0.8,0.21333333333333335,1.156740152160079,0.173757034171372,0.0,0.003461875627460484,0.005441624564363944,0.003461875627460484,0.0054416245643639435,,,,,,,
rl_policy,101,1500,20,0,-0.2973233624400388,-0.2973233624400388,0.2973233624400388,6,1500,75.0,0.7,0.18666666666666668,0.8690769693239417,0.3792307361971844,0.24271844660194175,0.003639079630290682,0.005401758826212732,0.0036390796302906833,0.0054017588262127315,0.5346928834915161,0.5194154977798462,0.5658186078071594,0.6434570550918579,0.5229800939559937,0.5486160516738892,0.48126286268234253
all_closed,202,5,5,0,-0.8253059671348373,-0.8253059671348373,0.8253059671348373,4,1500,75.0,0.2,0.013333333333333334,0.18671001390447362,0.8666357043539474,0.797752808988764,0.0011265510183614707,0.001350439706553184,0.001126551018361471,0.0013504397065531829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,5,5,0,-0.042400737905505054,-0.042400737905505054,0.042400737905505054,0,1415,70.75,1.0,0.0706713780918728,1.2515974173307323,0.10600184476376262,0.0,0.0009928584884799456,0.0013504397065531844,0.000992858488479946,0.0013504397065531829,1.0,1.0,1.0,1.0,1.0,1.0,1.0
